value	label
IDT	IDT
IEX	IEX
IFF	IFF
IFFT	IFFT
IFN	IFN
IFS	IFS
IGA	IGA
IGD	IGD
IGI	IGI
IGR	IGR
IGT	IGT
IHC	IHC
IHD	IHD
IHG	IHG
IHIT	IHIT
IHTA	IHTA
IID	IID
IIF	IIF
IIM	IIM
IIP-A	IIP-A
IIPR	IIPR
IMAX	IMAX
INFO	INFO
INFY	INFY
ING	ING
INGR	INGR
INN	INN
INN-D	INN-D
INN-E	INN-E
INS-A	INS-A
INSI	INSI
INSP	INSP
INSW	INSW
INT	INT
INVH	INVH
IO	IO
IP	IP
IPG	IPG
IPHI	IPHI
IPI	IPI
IPO.U	IPO.U
IPO.W	IPO.W
IPOB	IPOB
IPOC	IPOC
IPV	IPV
IPV.U	IPV.U
IPV.W	IPV.W
IQI	IQI
IQV	IQV
IR	IR
IRE-C	IRE-C
IRET	IRET
IRL	IRL
IRM	IRM
IRR	IRR
IRS	IRS
IRT	IRT
ISD	ISD
IT	IT
ITCB	ITCB
ITGR	ITGR
ITT	ITT
ITUB	ITUB
ITW	ITW
IVC	IVC
IVH	IVH
IVR	IVR
IVR-A	IVR-A
IVR-B	IVR-B
IVR-C	IVR-C
IVZ	IVZ
IX	IX
J	J
JAX	JAX
JBGS	JBGS
JBK	JBK
JBL	JBL
JBT	JBT
JCA-B	JCA-B
JCAP	JCAP
JCE	JCE
JCI	JCI
JCO	JCO
JDD	JDD
JE	JE
JE-A	JE-A
JEF	JEF
JELD	JELD
JEMD	JEMD
JEQ	JEQ
JFR	JFR
JGH	JGH
JHAA	JHAA
JHB	JHB
JHG	JHG
JHI	JHI
JHS	JHS
JHX	JHX
JHY	JHY
JIH	JIH
JIH.U	JIH.U
JIH.W	JIH.W
JILL	JILL
JKS	JKS
JLL	JLL
JLS	JLS
JMIA	JMIA
JMM	JMM
JMP	JMP
JNJ	JNJ
JNPR	JNPR
JOE	JOE
JOF	JOF
JP	JP
JPC	JPC
JPI	JPI
JPM	JPM
JPM-C	JPM-C
JPM-D	JPM-D
JPM-G	JPM-G
